Daugavpils Universitāte,Vēsture,Bakalaura studiju programma
Daugavpils Universitāte,Vēsture,Maģistra studiju programma
Daugavpils Universitāte,Vēsture,Maģistra studiju programma
Daugavpils Universitāte,Vēsture,Maģistra studiju programma
Daugavpils Universitāte,Vēsture,Doktora studiju programma
Daugavpils Universitāte,Vēstures skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,Vēstures un Latvijas kultūras vēstures skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,Vēstures un pasaules kultūras vēstures skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,Vēstures un sociālo zinību skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,"Vēstures, sociālo zinību un Latvijas kultūras vēstures skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,"Vēstures, sociālo zinību, un pasaules kultūras vēstures skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,Vidējās izglītības skolotājs,Profesionālā maģistra studiju programma
Daugavpils Universitāte,Vidējās izglītības skolotājs,Profesionālā maģistra studiju programma
Daugavpils Universitāte,Vidējās izglītības skolotājs,2.līmeņa profesionālā studiju programma
Daugavpils Universitāte,Vidējās izglītības skolotājs,2.līmeņa profesionālā studiju programma
Daugavpils Universitāte,Vides plānošana,Profesionālā maģistra studiju programma
Daugavpils Universitāte,Vides plānošana,Profesionālā maģistra studiju programma
Daugavpils Universitāte,Vides zinātne,Bakalaura studiju programma
Daugavpils Universitāte,Vides zinātne,Bakalaura studiju programma
Daugavpils Universitāte,Vides zinātne,Bakalaura studiju programma
Daugavpils Universitāte,Vizuālās mākslas skolotājs,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Biznesa vadība,Maģistra studiju programma
Ekonomikas un kultūras augstskola,Biznesa vadība,Maģistra studiju programma
Ekonomikas un kultūras augstskola,Grāmatvedība un audits,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Interjera dizains,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Izklaides un atpūtas industrijas vadība,1.līmeņa profesionālā studiju programma
Ekonomikas un kultūras augstskola,Kultūras vadība,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Kultūras vadība,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Radošais mārketings un pārdošanas vadība,1.līmeņa profesionālā studiju programma
Ekonomikas un kultūras augstskola,Starptautiskie tirdzniecības darījumi un loģistika,1.līmeņa profesionālā studiju programma
Ekonomikas un kultūras augstskola,Tiesību zinātne,Profesionālā studiju programma
Ekonomikas un kultūras augstskola,Tulkošana,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,Tulkošana,Profesionālā bakalaura studiju programma
Ekonomikas un kultūras augstskola,"Tulks, tulkotājs sociālajās un humanitārajās zinātnēs",Profesionālā studiju programma
Ekonomikas un kultūras augstskola,"Tulks, tulkotājs sociālajās un humanitārajās zinātnēs",Profesionālā studiju programma
Ekonomikas un kultūras augstskola,Uzņēmējdarbības ekonomika un administratīvais darbs,Profesionālā studiju programma
Ekonomikas un kultūras augstskola,Uzņēmējdarbības ekonomika un administratīvais darbs,Profesionālā studiju programma
Ekonomikas un kultūras augstskola,Uzņēmējdarbības ekonomika un administratīvais darbs,Profesionālā studiju programma
Ekonomikas un kultūras augstskola,Vadības zinības,Bakalaura studiju programma
Ekonomikas un kultūras augstskola,Vadības zinības,Bakalaura studiju programma
Grāmatvedības un finanšu koledža,Grāmatvedība un finanses,1.līmeņa profesionālā studiju programma
Grāmatvedības un finanšu koledža,Grāmatvedība un finanses,1.līmeņa profesionālā studiju programma
Grāmatvedības un finanšu koledža,Sabiedrības pārvaldes speciālists,1.līmeņa profesionālā studiju programma
Grāmatvedības un finanšu koledža,Uzņēmējdarbība un finanses,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Apdrošināšana,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Datorsistēmas,Profesionālā maģistra studiju programma
Informācijas sistēmu menedžmenta augstskola,Finanses un banku lietas,1.līmeņa profesionālā studiju programma
